RMF FM;http://195.150.20.242:8000/rmf_fm;Pop
ZET;http://zt.cdn.eurozet.pl/zet-tun.mp3;Pop
Radio 357;http://stream.radio357.pl;Pop/Rock
Nowy Œwiat;http://stream.rcs.revma.com/ypqt40u0x1zuv;Kultura/Rock
Antyradio;http://playerservices.streamtheworld.com/api/livestream-redirect/ANTYRADIO.mp3;Rock
Antyradio - Ballads;http://an.cdn.eurozet.pl/ANTBAL.mp3 ;Rock
Antyradio - Classic Rock;http://an.cdn.eurozet.pl/ANTCLA.mp3;Rock
Antyradio - Covers;http://an.cdn.eurozet.pl/ANTCOV.mp3;Rock
Antyradio - Unplugged;http://an.cdn.eurozet.pl/ANTUNP.mp3;Rock
TOK FM;http://radiostream.pl/tuba10-1.mp3;Informacje
ESKA 2;http://waw.ic.smcdn.pl/1150-1.mp3;Pop/Dance
Eska Rock;http://ic2.smcdn.pl/5380-1.mp3;Rock
RMF Classic;http://rmfstream1.interia.pl:8000/rmf_classic;Klasyka/Filmowa
RMF Classic Rock;http://rs201-krk.rmfstream.pl/rmf_classic_rock;Rock
RMF MAXX;http://195.150.20.242:8000/rmf_maxxx;Pop/Club
Chillizet;http://ch01.cdn.eurozet.pl/CHILAD.mp3?t=1709721264195?redirected=01;Chillout
Meloradio;http://r.dcs.redcdn.pl/sc/o2/Eurozet/live/meloradio.livx?audio=5;Pop/Soft
Meloradio hot dance;http://ml02.cdn.eurozet.pl/MELHDN.mp3;Dance
PR Jedynka;http://stream3.polskieradio.pl:8900/;Informacje
PR Dwójka;http://stream3.polskieradio.pl:8902/;Kultura
PR Trójka;http://stream3.polskieradio.pl:8904/;Kultura/Rock
PR4 Czwórka;https://stream14.polskieradio.pl/pr4/pr4.sdp/playlist.m3u8;Kultura/Rock
PR 24;http://stream3.polskieradio.pl:8952/;Informacje
Paradise;http://stream.radioparadise.com/mp3-128;Pop/Rock
Swiss Jazz;http://stream.srg-ssr.ch/m/rsj/mp3_128;Jazz
SomaFM Groove Salad;http://ice1.somafm.com/groovesalad-128-mp3;Downtempo/Chill
FIP;http://icecast.radiofrance.fr/fip-midfi.mp3;Eklektyczna
Jazz.fm;http://jazzfm91.streamb.live/SB00009;Jazz
GRA Toruñ;http://31.192.216.7:8000/radio_gra;Pop/Lokalne
Maryja;http://51.68.135.155/stream;Religijne/Torun
Polskie Radio PiK;http://stream.radiopik.pl:9004/;Informacje/Torun
Sfera (UMK);http://158.75.34.231:8000/sfera.mp3;Studenckie/Torun
Rock Radio;http://radiostream.pl/tuba8-1.mp3?cache=1650763965;Rock
Radio Pogoda Poznan;http://stream30.radiostream.pl/tuba138-1.mp3;Oldies
Vox FM;http://ic2.smcdn.pl/3990-1.mp3;Disco/Pop
VOX FM DISCO;http://ic1.smcdn.pl/6170-1.mp3;Disco/Pop
VOX FM HIT 22;http://ic1.smcdn.pl/6020-1.mp3;Disco/Pop
VOX FM DISCO PARTY;http://ic1.smcdn.pl/6180-1.mp3;Disco/Pop
VOX FM BEST LISTA;http://ic1.smcdn.pl/6100-1.mp3;Disco/Pop
Z³ote Przeboje;http://radiostream.pl/tuba8940-1.mp3;Pop/Oldies
Open FM - Impreza;http://stream.open.fm/11;Dance
RMF Dance;http://31.192.216.4/rmf_dance;Dance
BBC World Service;http://stream.live.vc.bbcmedia.co.uk/bbc_world_service;News/English
RMF Disco Polo;http://rs201-krk-cyfronet.rmfstream.pl/rmf_disco_polo;Disco
Disco Party - Disco Polo ;http://s1.slotex.pl/shoutcast/7432/stream;Disco
Disco Party - Disco Impreza ;http://s3.slotex.pl/shoutcast/7046/stream;Disco
Disco Party - Club ;http://s3.slotex.pl/shoutcast/7354/stream;Disco
Eska 2 - Disco Polo;http://waw.ic.smcdn.pl/6110-1.mp3;Disco
Eska - Do Pracy;http://waw.ic.smcdn.pl/6140-1.mp3;Disco/Pop
Eska - Impreska;http://ic2.smcdn.pl/6030-1.mp3;Disco/Pop
Eska - Summer City;http://ic2.smcdn.pl/6120-1.mp3;Pop/Dance
Eska 2 - Dla Dzieci;http://waw.ic.smcdn.pl/6220-1.mp3;Pop/Dance
Eska 2 - Kultowe Polskie;http://waw.ic.smcdn.pl/6040-1.mp3;Pop/Dance
Eska 2 - Polska Impreza;http://waw.ic.smcdn.pl/6160-1.mp3;Pop/Dance
Eska 2 - Polskie Na Czasie;http://waw.ic.smcdn.pl/6230-1.mp3;Pop/Dance
Eska Rock - Klasyka Rocka;http://waw.ic.smcdn.pl/6070-1.mp3;Rock
Eska Rock - Rock Ballads;http://waw.ic.smcdn.pl/6010-1.mp3;Rock
Eska Rock - Dobrze Rockuje;http://waw.ic.smcdn.pl/2150-1.mp3;Pop/Rock
Eska 2 - Gor¹ca polska 20;http://ic2.smcdn.pl/6110-1.mp3;Pop/Dance
Eska 2 - Najlepsze Polskie Hity;http://ic2.smcdn.pl/1980-1.mp3;Pop/Dance
Radio My Ukrayina;https://cast.mediaonline.net.ua/wau320;
Radio ZET - Ukraina;http://n-4-4.dcs.redcdn.pl/sc/o2/Eurozet/live/audio.livx;
Zeno FM - Radio Pedigator Ukraina;http://stream.zeno.fm/wnv2xkb1m0hvv;
